"Municipality_ID","Municipality","Analfabet_Population","Population_Total","Percentage"
14001,"Acatic",1191,23175,5.13915857605178
14002,"Acatlán de Juárez",526,25250,2.0831683168316832
14003,"Ahualulco de Mercado",478,23630,2.022852306390182
14004,"Amacueca",147,5743,2.5596378199547276
14005,"Amatitán",426,16490,2.583383869011522
14006,"Ameca",1687,60386,2.793693902560196
14007,"San Juanito de Escobedo",276,9433,2.9258984416410474
14008,"Arandas",3750,80609,4.652085995360319
14009,"El Arenal",444,21115,2.102770542268529
14010,"Atemajac de Brizuela",398,7758,5.130188192833204
14011,"Atengo",282,5599,5.036613681014466
14012,"Atenguillo",141,4176,3.3764367816091956
14013,"Atotonilco el Alto",2435,64009,3.8041525410489148
14014,"Atoyac",466,8689,5.363102773621821
14015,"Autlán de Navarro",1634,64931,2.5165175339976282
14016,"Ayotlán",2298,41552,5.530419715055833
14017,"Ayutla",460,12880,3.571428571428571
14018,"La Barca",2539,67937,3.7372860149844707
14019,"Bolaños",616,7043,8.746272895073123
14020,"Cabo Corrientes",341,10940,3.117001828153565
14021,"Casimiro Castillo",858,20548,4.17558886509636
14022,"Cihuatlán",1538,40139,3.83168489498991
14023,"Zapotlán el Grande",2386,115141,2.072241859980372
14024,"Cocula",974,29267,3.327980319130762
14025,"Colotlán",481,19689,2.442988470719691
14026,"Concepción de Buenos Aires",342,6334,5.399431638774866
14027,"Cuautitlán de García Barragán",1525,18370,8.301578660860098
14028,"Cuautla",107,2166,4.939981532779317
14029,"Cuquío",1008,17820,5.656565656565657
14030,"Chapala",1069,55196,1.936734545981593
14031,"Chimaltitán",261,3270,7.9816513761467895
14032,"Chiquilistlán",289,5983,4.830352665886679
14033,"Degollado",1040,21226,4.899651370960143
14034,"Ejutla",98,1981,4.946996466431095
14035,"Encarnación de Díaz",2162,53039,4.076245781406135
14036,"Etzatlán",387,20011,1.9339363350157412
14037,"El Grullo",660,25920,2.5462962962962963
14038,"Guachinango",234,4199,5.572755417956656
14039,"Guadalajara",16888,1385629,1.2187966620213635
14040,"Hostotipaquillo",382,8732,4.3747136967475955
14041,"Huejúcar",223,5920,3.7668918918918917
14042,"Huejuquilla el Alto",556,10015,5.551672491263105
14043,"La Huerta",1050,23258,4.51457562989079
14044,"Ixtlahuacán de los Membrillos",1103,67969,1.622798628786653
14045,"Ixtlahuacán del Río",901,20465,4.402638651355974
14046,"Jalostotitlán",1034,32678,3.1642083358834694
14047,"Jamay",828,24894,3.3261026753434564
14048,"Jesús María",1363,18982,7.18048677694658
14049,"Jilotlán de los Dolores",758,9425,8.042440318302388
14050,"Jocotepec",1451,47105,3.080352404203375
14051,"Juanacatlán",435,30855,1.4098201263976664
14052,"Juchitlán",185,5534,3.342970726418504
14053,"Lagos de Moreno",5916,172403,3.4314948115752046
14054,"El Limón",180,5368,3.3532041728763042
14055,"Magdalena",540,21781,2.479225012625683
14056,"Santa María del Oro",240,1815,13.223140495867769
14057,"La Manzanilla de la Paz",139,4099,3.3910709929251035
14058,"Mascota",371,14451,2.567296380873296
14059,"Mazamitla",566,14043,4.030477818130029
14060,"Mexticacán",291,5307,5.483323911814584
14061,"Mezquitic",3124,22083,14.146628628356655
14062,"Mixtlán",134,3638,3.6833424958768552
14063,"Ocotlán",2556,106050,2.41018387553041
14064,"Ojuelos de Jalisco",1399,33588,4.1651780397761105
14065,"Pihuamo",833,11386,7.316002107851747
14066,"Poncitlán",1884,53659,3.5110605862949367
14067,"Puerto Vallarta",4361,291839,1.4943170720842658
14068,"Villa Purificación",597,11303,5.2817835972750595
14069,"Quitupan",818,7734,10.576674424618568
14070,"El Salto",4720,232852,2.0270386339821003
14071,"San Cristóbal de la Barranca",170,2924,5.813953488372093
14072,"San Diego de Alejandría",280,7609,3.6798528058877644
14073,"San Juan de los Lagos",2118,72230,2.9322995985047764
14074,"San Julián",616,16792,3.668413530252501
14075,"San Marcos",113,3791,2.980743867053548
14076,"San Martín de Bolaños",158,3095,5.105008077544426
14077,"San Martín Hidalgo",789,28102,2.8076293502241834
14078,"San Miguel el Alto",1301,31965,4.070076646331926
14079,"Gómez Farías",775,16431,4.716694053922463
14080,"San Sebastián del Oeste",300,5086,5.898545025560361
14081,"Santa María de los Ángeles",175,3515,4.978662873399715
14082,"Sayula",823,37186,2.213198515570376
14083,"Tala",2027,87690,2.3115520583875013
14084,"Talpa de Allende",565,14997,3.767420150696806
14085,"Tamazula de Gordiano",1872,38955,4.8055448594532155
14086,"Tapalpa",920,21245,4.330430689574018
14087,"Tecalitlán",877,16705,5.24992517210416
14088,"Tecolotlán",571,16603,3.4391375052701316
14089,"Techaluta de Montenegro",114,4072,2.7996070726915523
14090,"Tenamaxtlán",211,7302,2.889619282388387
14091,"Teocaltiche",1517,39839,3.807826501669219
14092,"Teocuitatlán de Corona",490,11039,4.438807863031072
14093,"Tepatitlán de Morelos",4678,150190,3.1147213529529263
14094,"Tequila",1081,44353,2.437264672062769
14095,"Teuchitlán",310,9647,3.213434228257489
14096,"Tizapán el Alto",1086,22758,4.771948325863433
14097,"Tlajomulco de Zúñiga",8124,727750,1.1163174166952938
14098,"San Pedro Tlaquepaque",11416,687127,1.6614104816140247
14099,"Tolimán",687,11219,6.123540422497549
14100,"Tomatlán",1773,36316,4.882145610750083
14101,"Tonalá",8768,569913,1.5384804347330205
14102,"Tonaya",255,5961,4.2778057372924
14103,"Tonila",263,7565,3.4765366820885655
14104,"Totatiche",185,4180,4.425837320574163
14105,"Tototlán",999,23573,4.237899291562381
14106,"Tuxcacuesco",426,5482,7.770886537759941
14107,"Tuxcueca",249,6702,3.715308863025962
14108,"Tuxpan",1183,37518,3.153153153153153
14109,"Unión de San Antonio",1052,19069,5.516807383711784
14110,"Unión de Tula",380,13799,2.7538227407783173
14111,"Valle de Guadalupe",244,6627,3.681907348724913
14112,"Valle de Juárez",369,6151,5.999024548853845
14113,"San Gabriel",784,16548,4.737732656514383
14114,"Villa Corona",689,19063,3.614331427372397
14115,"Villa Guerrero",340,5525,6.153846153846154
14116,"Villa Hidalgo",535,20088,2.6632815611310234
14117,"Cañadas de Obregón",238,4388,5.423883318140383
14118,"Yahualica de González Gallo",1034,22394,4.617308207555595
14119,"Zacoalco de Torres",958,30472,3.143869782095038
14120,"Zapopan",17018,1476491,1.1525976114991558
14121,"Zapotiltic",994,33713,2.948417524397117
14122,"Zapotitlán de Vadillo",333,7466,4.460219662469863
14123,"Zapotlán del Rey",865,19279,4.486747237927278
14124,"Zapotlanejo",2311,64806,3.5660278369286793
14125,"San Ignacio Cerro Gordo",825,18341,4.498118968431383